"Parameter Name",Value,Type,"Last Updated"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.MulticastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.MulticastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnicastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnicastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnknownProtoPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Status,NoLink,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.X_000631_OnBatteryEnable,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.X_000631_PhyPortID,3,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.DuplexMode,Full,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Enable,1,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MACAddress,f8:85:f9:9c:d0:65,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MaxBitRate,Auto,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Name,eth3,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BroadcastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BroadcastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.DiscardPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.DiscardPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.ErrorsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.ErrorsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.MulticastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.MulticastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnicastPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnicastPacketsSent,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnknownProtoPacketsReceived,0,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Status,NoLink,xsd:string,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.X_000631_OnBatteryEnable,0,xsd:boolean,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.X_000631_PhyPortID,4,xsd:unsignedInt,"2025-12-03 14:45:25"
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceNumberOfEntries,4,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPConditionalPoolNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPLeaseTime,43200,xsd:int,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPOptionNumberOfEntries,0,xsd:unsignedInt,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerConfigurable,1,xsd:boolean,"2025-12-03 14:45:24"
InternetGatewayDevice.LANDevice.1.LANHostConfigManagement.DHCPServerEnable,1,xsd:boolean,"2025-12-03 14:45:24"
